 /features         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)     INR-TSS     REdens1     REdens2
   4.74803   4.24760   1.97096   0.65955   1.87641   0.21618   0.20493   0.01798   0.15426   0.31256   0.10979   8.89202   3.16914         1
  -1.90481  -2.99473   3.05212   0.55467   6.18564   0.21116   3.20338   0.01503   0.04577   0.10249   0.04000   4.09324   6.44758         1
   5.08815   6.66605   2.14064   0.64702   1.16453   0.21772   0.08474   0.01526   0.15426   0.23419   0.14081   7.50183   0.00000         1
   1.96353   4.92107   3.22897   0.68129   0.73102   0.24540   0.05698   0.01628   0.30434   0.31256   0.04000   0.67749   0.00000         1
   2.96227  10.02253  -6.96406   0.74110   1.69174   0.35029   0.12418   0.04167   0.01474   0.02295   0.12538   9.52960   8.94067         1
   3.26211   5.09565   3.41044   0.67210   1.07629   0.21251   0.06446   0.01382   0.30434   0.32429   0.12538   4.13732   0.23957         1
   1.50590   4.73737   3.58013   0.65259   0.73572   0.19095   0.06045   0.01333   0.30434   0.31256   0.04000   2.23305   2.28456         1
   4.55188   8.41203   2.93240   0.68651   1.78612   0.28012   0.12666   0.03096   0.04577   0.10249   0.20093  10.26656   8.80895         1
   1.75900  10.02253  -6.17954   0.62977   0.77430   0.27477   0.04918   0.02932   0.19520   0.31256   0.04000   5.94183   6.20123         1
   5.93122   5.26043   4.41855   0.78048   0.97369   0.25603   0.05761   0.01595   0.19520   0.23419   0.20093   1.72979   1.74009         1
   3.87408   8.92374   3.19245   0.72808   1.03961   0.24406   0.11351   0.02042   0.15426   0.23419   0.20093   9.77556   8.60916         1
   1.36250   7.14114   3.24703   0.61620   0.60173   0.23867   0.04401   0.02063   0.30434   0.32429   0.04000   0.99791   5.96062         1
  -0.10639  -8.94635   3.24703   0.58834   0.66320   0.17535   0.04555   0.01098   0.30434   0.32429   0.04000   0.42866   0.44640         1
  -1.84780  -2.34970   3.22897   0.60255   0.60249   0.15797   0.03602   0.00882   0.30434   0.32429   0.04000   4.60524   4.91211         1
   2.62588  -6.30553   4.06740   0.59090   0.80243   0.20958   0.06235   0.01599   0.19025   0.31256   0.04000   1.98813   5.26213         1
   4.26177  -2.05725   2.20239   0.67318   1.14171   0.24321   0.16836   0.02089   0.30434   0.31256   0.13246   7.83229   6.70292         1
  -0.72135   2.38354   3.54360   0.61646   0.65962   0.20037   0.03844   0.01237   0.30434   0.32429   0.04000   3.45422   0.90389         1
  -0.11541   3.41631   4.41855   0.54583   1.08930   0.18612   0.20486   0.01348   0.30434   0.32429   0.04000   6.08464   5.86933         1
   4.41135   1.65070   3.28355   0.63359   0.74401   0.20645   0.05049   0.01440   0.30434   0.32429   0.20093   0.34116   0.13067         1
   6.94571   5.40297  -6.71106   0.61018   0.68660   0.29409   0.05482   0.03091   0.30434   0.32429   0.20093   4.96740   6.33425         1
  -0.34407  10.28798   4.45508   0.54880   1.45081   0.21505   0.08379   0.01723   0.15426   0.23419   0.04000  10.85055  10.53117         1
   2.91993   3.75835   4.10392   0.67570   0.90675   0.20375   0.06064   0.01308   0.19025   0.32429   0.13053   1.15597   0.46009         1
  -0.70184   4.82609   3.41044   0.63640   0.61591   0.19394   0.03769   0.01328   0.19025   0.32429   0.04000   0.86176   0.90702         1
