 /features        TATA         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)    TATA-TSS    TATA-INR     INR-TSS     REdens1     REdens2
   7.42417   3.73725   6.96839   3.65520   0.68931   1.34135   0.19629   0.10156   0.01279   0.17898   0.23419   0.08665   0.04695   0.08823  10.94696   7.66564         1
   7.07602  -0.05865  -8.46122   3.92569   0.53309   0.84391   0.14811   0.04847   0.00991   0.21141   0.31256   0.04072   0.03981   0.04000   5.94104   4.14160         1
   6.24636   2.07265  -6.40356   3.82135   0.50606   0.68127   0.15148   0.04946   0.01137   0.16217   0.31256   0.23745   0.03981   0.04000   7.85769   4.33839         1
   6.61353   1.59141  -5.77873   2.88136   0.50019   0.96933   0.13320   0.07016   0.00793   0.16217   0.31256   0.28007   0.03981   0.04000   6.76912   3.77954         1
   8.16926   5.68898   9.17166   3.65520   0.64413   1.45869   0.17246   0.07891   0.01109   0.17898   0.10249   0.28007   0.07834   0.24830  10.04807   6.49349         1
   2.66187  -1.39640  -8.03957   4.48970   0.55827   0.74296   0.16679   0.05268   0.00951   0.16217   0.32429   0.23745   0.03981   0.04000   9.98319   7.50580         1
   2.93787   0.64743   9.05838   3.92569   0.64001   1.05290   0.29000   0.08458   0.03557   0.06960   0.10249   0.28007   0.03981   0.04000  11.60762   0.29410         1
   4.41195   0.10604  -2.18997   1.67926   0.59317   0.78755   0.22131   0.06506   0.01792   0.22443   0.23419   0.28007   0.03981   0.04000   9.03433   3.50628         1
   8.58545   1.06801   7.44983   3.82135   0.63738   0.96314   0.27744   0.10159   0.02302   0.16217   0.10249   0.17448   0.03981   0.04000   9.46507   6.61378         1
   6.69762  -3.16561  -4.26243   3.44537   0.43636   1.16095   0.15462   0.06297   0.00916   0.16217   0.31256   0.28007   0.03981   0.04000   8.19488   5.43381         1
   7.44511  -1.76943 -12.98527   4.48970   0.56351   0.70136   0.20507   0.05314   0.01489   0.22443   0.23419   0.04072   0.03981   0.04000   9.63036   7.46815         1
   6.86029   6.72743   8.38058   3.17818   0.69274   1.66409   0.22345   0.11234   0.01477   0.02202   0.10249   0.23745   0.06702   0.24830   7.82264   6.89202         1
   7.31866   2.72594  -0.01405   4.21921   0.61700   0.79580   0.20970   0.07206   0.01321   0.21141   0.10249   0.23745   0.03981   0.04000   8.77196   4.50509         1
   6.90247   2.07365   8.65967   1.62369   0.62071   1.19597   0.19669   0.10125   0.01190   0.12382   0.10249   0.04072   0.03981   0.04000  10.35591   4.82477         1
   3.89572   4.95862   8.99519   1.67926   0.64512   1.43398   0.21928   0.11011   0.01903   0.17898   0.23419   0.06084   0.07834   0.10945   4.79919   5.29860         1
   6.90247   2.17528  -9.61740   4.48970   0.57066   0.54096   0.15690   0.03155   0.00924   0.16217   0.23419   0.23745   0.03981   0.04000   6.61141   4.62112         1
   8.16926   5.17187   2.98064   3.17818   0.66236   0.71182   0.20992   0.04299   0.01287   0.21141   0.23419   0.17448   0.06787   0.12726  14.20293   5.57163         1
   6.29737   2.16269  -6.55351   4.38028   0.60926   0.77151   0.15750   0.05231   0.00788   0.21141   0.23419   0.02083   0.03981   0.04000   9.12029   6.10727         1
